,Try_ID,Model,Scaler,Features_disc_capa,Features_dis_ener,Features_temp_avg,Features_char_capa,Features_eff_ener,Features_char_ener,Features_dc_res,Features_temp_min,Features_temp_max,Metrics_accuracy,Metrics_precision,Metrics_roc_auc,HyperParams_max_iter,HyperParams_penalty,HyperParams_solver,HyperParams_C,HyperParams_l1_ratio,HyperParams_min_samples_leaf,HyperParams_min_samples_split,HyperParams_n_estimators
0,1,LogisticRegression,RobustScaler,X,X,X,X,,,,,,0.9444444444444444,0.9565217391304348,0.939799331103679,500.0,none,lbfgs,,,,,
1,2,LogisticRegression,StandardScaler,X,X,X,X,,,,,,0.9444444444444444,0.9565217391304348,0.939799331103679,500.0,none,lbfgs,,,,,
2,3,LogisticRegression,MinMaxScaler,X,X,X,X,,,,,,0.9722222222222222,0.9565217391304348,0.9642857142857144,500.0,elasticnet,saga,0.15,0.2,,,
3,4,RandomForestClassifier,RobustScaler,X,X,X,X,,,,,,0.9722222222222222,0.9565217391304348,0.9642857142857144,,,,,,1.0,2.0,50.0
4,5,RandomForestClassifier,StandardScaler,X,X,X,X,,,,,,0.9444444444444444,0.9565217391304348,0.939799331103679,,,,,,1.0,2.0,50.0
5,6,RandomForestClassifier,MinMaxScaler,X,X,X,X,,,,,,0.9444444444444444,0.9565217391304348,0.939799331103679,,,,,,1.0,2.0,50.0
6,7,LogisticRegression,RobustScaler,X,,,,,,,,,0.9444444444444444,0.9565217391304348,0.939799331103679,500.0,elasticnet,saga,0.2,0.8,,,
7,8,LogisticRegression,StandardScaler,X,,,,,,,,,0.9166666666666666,0.9565217391304348,0.9166666666666664,500.0,none,lbfgs,,,,,
8,9,LogisticRegression,MinMaxScaler,X,,,,,,,,,0.9444444444444444,0.9565217391304348,0.939799331103679,500.0,none,newton-cg,,,,,
9,10,RandomForestClassifier,RobustScaler,X,,,,,,,,,0.9166666666666666,0.9565217391304348,0.9166666666666664,,,,,,4.0,2.0,50.0
10,11,RandomForestClassifier,StandardScaler,X,,,,,,,,,0.9722222222222222,0.9565217391304348,0.9642857142857144,,,,,,1.0,4.0,50.0
11,12,RandomForestClassifier,MinMaxScaler,X,,,,,,,,,0.9444444444444444,0.9565217391304348,0.939799331103679,,,,,,1.0,4.0,50.0
12,13,LogisticRegression,RobustScaler,X,X,,X,X,X,X,,,0.9722222222222222,0.9565217391304348,0.9642857142857144,500.0,none,lbfgs,,,,,
13,14,LogisticRegression,StandardScaler,X,X,,X,X,X,X,,,0.9722222222222222,0.9565217391304348,0.9642857142857144,500.0,none,lbfgs,,,,,
14,15,LogisticRegression,MinMaxScaler,X,X,,X,X,X,X,,,0.9444444444444444,0.9565217391304348,0.939799331103679,500.0,none,lbfgs,,,,,
15,16,RandomForestClassifier,RobustScaler,X,X,,X,X,X,X,,,0.9722222222222222,0.9565217391304348,0.9642857142857144,,,,,,1.0,2.0,50.0
16,17,RandomForestClassifier,StandardScaler,X,X,,X,X,X,X,,,0.9722222222222222,0.9565217391304348,0.9642857142857144,,,,,,1.0,2.0,50.0
17,18,RandomForestClassifier,MinMaxScaler,X,X,,X,X,X,X,,,0.9444444444444444,0.9565217391304348,0.939799331103679,,,,,,1.0,2.0,50.0
18,19,LogisticRegression,RobustScaler,X,X,X,X,X,X,X,X,X,0.9444444444444444,0.9565217391304348,0.939799331103679,500.0,none,lbfgs,,,,,
19,20,LogisticRegression,StandardScaler,X,X,X,X,X,X,X,X,X,0.9722222222222222,0.9565217391304348,0.9642857142857144,500.0,none,lbfgs,,,,,
20,21,LogisticRegression,MinMaxScaler,X,X,X,X,X,X,X,X,X,0.9722222222222222,0.9565217391304348,0.9642857142857144,500.0,none,lbfgs,,,,,
21,22,RandomForestClassifier,RobustScaler,X,X,X,X,X,X,X,X,X,0.9722222222222222,0.9565217391304348,0.9642857142857144,,,,,,1.0,2.0,50.0
22,23,RandomForestClassifier,StandardScaler,X,X,X,X,X,X,X,X,X,0.9722222222222222,0.9565217391304348,0.9642857142857144,,,,,,1.0,2.0,50.0
23,24,RandomForestClassifier,MinMaxScaler,X,X,X,X,X,X,X,X,X,0.9722222222222222,0.9565217391304348,0.9642857142857143,,,,,,1.0,2.0,50.0
