,Try_ID,Model,Scaler,Features_disc_capa,Features_dis_ener,Features_temp_avg,Features_char_capa,Features_eff_ener,Features_char_ener,Features_dc_res,Features_temp_min,Features_temp_max,Metrics_accuracy,Metrics_precision,Metrics_roc_auc,HyperParams_C,HyperParams_max_iter,HyperParams_penalty,HyperParams_solver,HyperParams_min_samples_leaf,HyperParams_min_samples_split,HyperParams_n_estimators,HyperParams_l1_ratio
0,1,LogisticRegression,RobustScaler,X,X,X,X,,,,,,0.9764705882352942,1.0,0.99,0.2,500.0,l1,liblinear,,,,
1,2,LogisticRegression,StandardScaler,X,X,X,X,,,,,,0.9764705882352942,1.0,1.0,5.0,500.0,l1,liblinear,,,,
2,3,LogisticRegression,MinMaxScaler,X,X,X,X,,,,,,0.9764705882352942,1.0,0.9933333333333334,2.0,1000.0,l1,liblinear,,,,
3,4,RandomForestClassifier,RobustScaler,X,X,X,X,,,,,,0.9764705882352942,1.0,1.0,,,,,1.0,2.0,200.0,
4,5,RandomForestClassifier,StandardScaler,X,X,X,X,,,,,,0.9764705882352942,1.0,1.0,,,,,1.0,2.0,400.0,
5,6,RandomForestClassifier,MinMaxScaler,X,X,X,X,,,,,,0.9764705882352942,1.0,1.0,,,,,1.0,2.0,400.0,
6,7,LogisticRegression,RobustScaler,X,,,,,,,,,0.7323529411764707,0.7323529411764707,0.9933333333333334,0.05,500.0,elasticnet,saga,,,,0.2
7,8,LogisticRegression,StandardScaler,X,,,,,,,,,0.9764705882352942,1.0,0.9933333333333334,0.1,500.0,elasticnet,saga,,,,0.4
8,9,LogisticRegression,MinMaxScaler,X,,,,,,,,,0.9764705882352942,1.0,0.9933333333333334,1.0,500.0,l1,liblinear,,,,
9,10,RandomForestClassifier,RobustScaler,X,,,,,,,,,0.9522058823529412,0.9692307692307692,1.0,,,,,1.0,2.0,200.0,
10,11,RandomForestClassifier,StandardScaler,X,,,,,,,,,0.9522058823529412,0.9692307692307692,1.0,,,,,1.0,2.0,100.0,
11,12,RandomForestClassifier,MinMaxScaler,X,,,,,,,,,0.9522058823529412,0.9692307692307692,1.0,,,,,1.0,2.0,100.0,
12,13,LogisticRegression,RobustScaler,X,X,,X,X,X,X,,,0.9764705882352942,1.0,0.9666666666666668,,500.0,none,lbfgs,,,,
13,14,LogisticRegression,StandardScaler,X,X,,X,X,X,X,,,0.9764705882352942,1.0,0.9833333333333332,,500.0,none,lbfgs,,,,
14,15,LogisticRegression,MinMaxScaler,X,X,,X,X,X,X,,,0.9764705882352942,1.0,0.9833333333333332,,500.0,none,lbfgs,,,,
15,16,RandomForestClassifier,RobustScaler,X,X,,X,X,X,X,,,0.9764705882352942,1.0,1.0,,,,,1.0,2.0,400.0,
16,17,RandomForestClassifier,StandardScaler,X,X,,X,X,X,X,,,0.9764705882352942,1.0,1.0,,,,,1.0,2.0,200.0,
17,18,RandomForestClassifier,MinMaxScaler,X,X,,X,X,X,X,,,0.9764705882352942,1.0,1.0,,,,,1.0,4.0,200.0,
18,19,LogisticRegression,RobustScaler,X,X,X,X,X,X,X,X,X,0.9764705882352942,1.0,0.97,,500.0,none,lbfgs,,,,
19,20,LogisticRegression,StandardScaler,X,X,X,X,X,X,X,X,X,0.9764705882352942,1.0,0.9866666666666668,5.0,500.0,elasticnet,saga,,,,0.6
20,21,LogisticRegression,MinMaxScaler,X,X,X,X,X,X,X,X,X,0.9764705882352942,1.0,0.9866666666666668,5.0,500.0,elasticnet,saga,,,,1.0
21,22,RandomForestClassifier,RobustScaler,X,X,X,X,X,X,X,X,X,0.9764705882352942,1.0,1.0,,,,,1.0,4.0,100.0,
22,23,RandomForestClassifier,StandardScaler,X,X,X,X,X,X,X,X,X,0.9764705882352942,1.0,1.0,,,,,1.0,2.0,100.0,
23,24,RandomForestClassifier,MinMaxScaler,X,X,X,X,X,X,X,X,X,0.9764705882352942,1.0,1.0,,,,,1.0,2.0,100.0,
