,Try_ID,deep,offset,Features_disc_capa,Features_dis_ener,Features_char_capa,Features_eff_ener,Features_char_ener,Features_dc_res,Features_temp_avg,Features_temp_min,Features_temp_max,Metrics_baseline,Metrics_train_eval,Metrics_validation_eval,Metrics_test_eval,Metrics_training_time,Metrics_epochs,HyperParams_unit_type,HyperParams_n_units,HyperParams_n_layer,HyperParams_dropout_rate,HyperParams_dropout_layer
0,1,20,20,X,X,X,,,,,,,323.7925714971913,228.8484802246093,190.6630706787109,189.50328063964844,512.8210490209894,216,LSTM,3,2,0.2,True
1,2,20,20,X,X,X,,,,,,,323.7925714971913,245.7694549560547,196.1767120361328,193.13172912597656,180.52582122899184,65,LSTM,3,2,0.3,True
2,3,20,20,X,X,X,,,,,,,323.7925714971913,248.0721130371093,197.96438598632807,194.26364135742188,386.3141810350062,113,LSTM,3,3,0.2,True
3,4,20,20,X,X,X,,,,,,,323.7925714971913,244.2939453125,190.9470672607422,186.66172790527344,402.5535362660012,118,LSTM,3,3,0.3,True
4,5,20,20,X,X,X,,,,,,,323.7925714971913,238.5171813964844,189.5924072265625,187.81190490722656,151.05976059100067,64,LSTM,4,2,0.2,True
5,6,20,20,X,X,X,,,,,,,323.7925714971913,246.0974884033203,195.0801239013672,186.722885131836,163.21971977599603,69,LSTM,4,2,0.3,True
6,7,20,20,X,X,X,,,,,,,323.7925714971913,220.2012176513672,186.08189392089844,187.6971740722656,219.0053729700012,65,LSTM,4,3,0.2,True
7,8,20,20,X,X,X,,,,,,,323.7925714971913,238.7152557373047,183.5289001464844,195.7733154296875,221.8371302500018,66,LSTM,4,3,0.3,True
8,9,40,20,X,X,X,,,,,,,323.6759605729077,217.6138458251953,178.78350830078125,180.77706909179688,289.4188389100018,70,LSTM,3,2,0.2,True
9,10,40,20,X,X,X,,,,,,,323.6759605729077,233.0109100341797,193.48489379882807,201.9850311279297,268.0779563420074,66,LSTM,3,2,0.3,True
10,11,40,20,X,X,X,,,,,,,323.6759605729077,373.1481018066406,304.0249328613281,292.660888671875,308.720735690993,51,LSTM,3,3,0.2,True
11,12,40,20,X,X,X,,,,,,,323.6759605729077,213.80615234375,175.55459594726562,179.28732299804688,752.7530150290113,126,LSTM,3,3,0.3,True
12,13,40,20,X,X,X,,,,,,,323.6759605729077,207.6031036376953,178.74468994140625,188.94448852539065,293.8909326550056,69,LSTM,4,2,0.2,True
13,14,40,20,X,X,X,,,,,,,323.6759605729077,220.7786865234375,186.7358856201172,185.5749969482422,343.0925805339939,82,LSTM,4,2,0.3,True
14,15,40,20,X,X,X,,,,,,,323.6759605729077,243.77142333984375,184.0513153076172,181.10342407226562,342.7072575880011,54,LSTM,4,3,0.2,True
